AcAd,2s2d,2c 5d 6d Td 5c,Aces and Fives,Deuces Full over Fives,P1,(null)
AsAc,Kc8c,2c 5d 6d Ah 7s,Three Aces,Ace-High,P0,(null)
AsAc,KsJs,2c 5d 6d 2d 9s,Aces and Deuces,Pair of Deuces,P0,(null)
AhAs,Kh9h,2c 5d 6d 3d 7d,Pair of Aces,King-High,P0,(null)
AcAd,Kc8c,2c 5d 6d 4c Qs,Pair of Aces,King-High,P0,(null)
AsAd,Kh9h,2c 5d 6d Qd Ac,Three Aces,Ace-High,P0,(null)
AdAs,KsQs,2c 5d 6d Js 2h,Aces and Deuces,Pair of Deuces,P0,(null)
AdAc,KsTs,2c 5d 6d Kh 7c,Pair of Aces,Pair of Kings,P0,(null)
AsAh,KsJs,2c 5d 6d 7h 5c,Aces and Fives,Pair of Fives,P0,(null)
AcAh,2s2h,2c 5d 6d Qs 9h,Pair of Aces,Three Deuces,P1,(null)
AsAh,KcJc,2c 5d 6d Qh Kh,Pair of Aces,Pair of Kings,P0,(null)
AsAd,2d2s,2c 5d 6d 3h Jc,Pair of Aces,Three Deuces,P1,(null)
AhAd,2h2d,2c 5d 6d 7s 7d,Aces and Sevens,Deuces Full over Sevens,P1,(null)
AcAs,2s2d,2c 5d 6d 7h 6h,Aces and Sixes,Deuces Full over Sixes,P1,(null)
AsAh,KsJs,2c 5d 6d Kh 2h,Aces and Deuces,Kings and Deuces,P0,(null)
AcAh,KdQd,2c 5d 6d 3s 7h,Pair of Aces,King-High,P0,(null)
AsAd,2d2s,2c 5d 6d Js 6c,Aces and Sixes,Deuces Full over Sixes,P1,(null)
AdAc,KdTd,2c 5d 6d 4d Qc,Pair of Aces,King-High Flush,P1,(null)
AcAs,KdQd,2c 5d 6d Ah Qc,Three Aces,Pair of Queens,P0,(null)
AhAd,Kc7c,2c 5d 6d 7h 2s,Aces and Deuces,Sevens and Deuces,P0,(null)
AcAs,KhJh,2c 5d 6d 9c 4s,Pair of Aces,King-High,P0,(null)
AcAs,KdJd,2c 5d 6d Qd 6h,Aces and Sixes,King-High Flush,P1,(null)
AhAd,Kc8c,2c 5d 6d Td 4h,Pair of Aces,King-High,P0,(null)
AdAs,Kc9c,2c 5d 6d Kh 2h,Aces and Deuces,Kings and Deuces,P0,(null)
AcAh,2h2d,2c 5d 6d 3c 8c,Pair of Aces,Three Deuces,P1,(null)
AhAs,Ks8s,2c 5d 6d 7h Jd,Pair of Aces,King-High,P0,(null)
AcAs,2s2d,2c 5d 6d Qd 9d,Pair of Aces,Queen-High Flush,P1,(null)
AcAh,Kh7h,2c 5d 6d 3d As,Three Aces,Ace-High,P0,(null)
AcAd,KsJs,2c 5d 6d Kh 7c,Pair of Aces,Pair of Kings,P0,(null)
AcAh,Kc8c,2c 5d 6d Ts 2d,Aces and Deuces,Pair of Deuces,P0,(null)
AhAd,Kd9d,2c 5d 6d 5c Td,Aces and Fives,King-High Flush,P1,(null)
AcAh,Kc8c,2c 5d 6d 8h Tc,Pair of Aces,Pair of Eights,P0,(null)
AdAh,2h2d,2c 5d 6d Qc As,Three Aces,Three Deuces,P0,(null)
AhAs,Kd9d,2c 5d 6d 4c Td,Pair of Aces,King-High Flush,P1,(null)
AcAs,Kd7d,2c 5d 6d 3c Qc,Pair of Aces,King-High,P0,(null)
AhAd,2d2s,2c 5d 6d 8s 4d,Pair of Aces,Three Deuces,P1,(null)
AhAd,Kh7h,2c 5d 6d 4d 2s,Aces and Deuces,Pair of Deuces,P0,(null)
AhAs,KdJd,2c 5d 6d 8s 9c,Pair of Aces,King-High,P0,(null)
AcAh,KdTd,2c 5d 6d 9c Tc,Pair of Aces,Pair of Tens,P0,(null)
AsAd,2d2s,2c 5d 6d Kd 8s,Pair of Aces,Three Deuces,P1,(null)
AcAs,KcQc,2c 5d 6d Qd 5s,Aces and Fives,Queens and Fives,P0,(null)
AdAh,KcJc,2c 5d 6d 9c 6c,Aces and Sixes,King-High Flush,P1,(null)
AdAs,Ks8s,2c 5d 6d 5s Ts,Aces and Fives,Pair of Fives,P0,(null)
AcAh,Ks8s,2c 5d 6d Jd Qc,Pair of Aces,King-High,P0,(null)
AdAc,KcQc,2c 5d 6d Js 9d,Pair of Aces,King-High,P0,(null)
AhAs,Kh9h,2c 5d 6d Js 8s,Pair of Aces,King-High,P0,(null)
AhAs,Kh8h,2c 5d 6d 5c Tc,Aces and Fives,Pair of Fives,P0,(null)
AdAc,KsQs,2c 5d 6d Jd 6h,Aces and Sixes,Pair of Sixes,P0,(null)
AsAh,Kd8d,2c 5d 6d Js 9h,Pair of Aces,King-High,P0,(null)
AhAs,KhQh,2c 5d 6d Th Js,Pair of Aces,King-High,P0,(null)
AsAd,Kc9c,2c 5d 6d Tc 6s,Aces and Sixes,Pair of Sixes,P0,(null)
AsAc,Kc9c,2c 5d 6d 5h 8s,Aces and Fives,Pair of Fives,P0,(null)
AdAs,KcJc,2c 5d 6d 2h 9h,Aces and Deuces,Pair of Deuces,P0,(null)
AhAd,KcJc,2c 5d 6d Td Tc,Aces and Tens,Pair of Tens,P0,(null)
AcAs,Kh8h,2c 5d 6d 5c 7h,Aces and Fives,Pair of Fives,P0,(null)
AcAd,Kh7h,2c 5d 6d Qs Qd,Aces and Queens,Pair of Queens,P0,(null)
AhAd,Kh8h,2c 5d 6d Ts 9c,Pair of Aces,King-High,P0,(null)
AdAc,KcQc,2c 5d 6d Tc 5h,Aces and Fives,Pair of Fives,P0,(null)
AhAd,KsQs,2c 5d 6d 3s 8s,Pair of Aces,King-High,P0,(null)
AhAc,KsJs,2c 5d 6d 7h 4s,Pair of Aces,King-High,P0,(null)
AhAc,KdTd,2c 5d 6d 3d 5s,Aces and Fives,King-High Flush,P1,(null)
AhAc,Kd8d,2c 5d 6d 2s 4d,Aces and Deuces,King-High Flush,P1,(null)
AdAh,KcJc,2c 5d 6d 5c 2s,Aces and Fives,Fives and Deuces,P0,(null)
AsAh,Ks8s,2c 5d 6d 6c 9d,Aces and Sixes,Pair of Sixes,P0,(null)
AhAd,KsTs,2c 5d 6d 9c 4h,Pair of Aces,King-High,P0,(null)
AsAh,2s2h,2c 5d 6d Ks 7s,Pair of Aces,Three Deuces,P1,(null)
AcAs,KcJc,2c 5d 6d Qd Qc,Aces and Queens,Pair of Queens,P0,(null)
AdAs,Ks7s,2c 5d 6d Kh 2s,Aces and Deuces,Kings and Deuces,P0,(null)
AdAs,2d2s,2c 5d 6d 6s 6c,Sixes Full over Aces,Sixes Full over Deuces,P0,(null)
AsAc,KdQd,2c 5d 6d Js Td,Pair of Aces,King-High Flush,P1,(null)
AdAs,KdTd,2c 5d 6d 5s 6s,Aces and Sixes,Sixes and Fives,P0,(null)
AcAh,Kc8c,2c 5d 6d Ks Js,Pair of Aces,Pair of Kings,P0,(null)
AcAd,2s2h,2c 5d 6d 9d 5h,Aces and Fives,Deuces Full over Fives,P1,(null)
AsAc,2h2s,2c 5d 6d Td Ah,Three Aces,Three Deuces,P0,(null)
AdAs,2d2h,2c 5d 6d Tc 6s,Aces and Sixes,Deuces Full over Sixes,P1,(null)
AsAh,Kd9d,2c 5d 6d 7c 3s,Pair of Aces,King-High,P0,(null)
AhAc,Ks8s,2c 5d 6d 9c 3c,Pair of Aces,King-High,P0,(null)
AdAh,KhJh,2c 5d 6d 9c 7c,Pair of Aces,King-High,P0,(null)
AcAh,KdTd,2c 5d 6d Qd Ad,Three Aces,Ace-High Flush,P1,(null)
AdAh,KsTs,2c 5d 6d Kh 3s,Pair of Aces,Pair of Kings,P0,(null)
AsAc,KsTs,2c 5d 6d 3c 6h,Aces and Sixes,Pair of Sixes,P0,(null)
AdAs,2h2s,2c 5d 6d 6c Qd,Aces and Sixes,Deuces Full over Sixes,P1,(null)
AhAs,Kc7c,2c 5d 6d Jh 7h,Pair of Aces,Pair of Sevens,P0,(null)
AcAd,KsTs,2c 5d 6d 5c 2s,Aces and Fives,Fives and Deuces,P0,(null)
AhAd,Kd7d,2c 5d 6d Ac 3c,Three Aces,Ace-High,P0,(null)
AsAc,Kd7d,2c 5d 6d Qd 2h,Aces and Deuces,King-High Flush,P1,(null)
AsAd,KhJh,2c 5d 6d 7c 3h,Pair of Aces,King-High,P0,(null)
AcAd,2d2s,2c 5d 6d Qd 8d,Ace-High Flush,Queen-High Flush,P0,(null)
AsAh,2s2d,2c 5d 6d 4s Kh,Pair of Aces,Three Deuces,P1,(null)
AdAh,KsJs,2c 5d 6d Kd 5c,Aces and Fives,Kings and Fives,P0,(null)
AcAh,Kc9c,2c 5d 6d 7h 3s,Pair of Aces,King-High,P0,(null)
AhAc,2s2d,2c 5d 6d Ts 8c,Pair of Aces,Three Deuces,P1,(null)
AhAc,2d2s,2c 5d 6d Jh 5h,Aces and Fives,Deuces Full over Fives,P1,(null)
